OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
120,55.284199999999998,-123.807000000000002,323.600000000000023,1.300000000000000,1.100000000000000,2019-04-02 0:00:00,2041,Aqua,MODIS,83,6.030000000000000,279.899999999999977,35.700000000000003,D,0
121,55.280400000000000,-123.826200000000000,329.199999999999989,1.300000000000000,1.100000000000000,2019-04-02 0:00:00,2041,Aqua,MODIS,86,6.030000000000000,280.500000000000000,44.799999999999997,D,0
122,53.973599999999998,-123.571899999999999,315.699999999999989,1.000000000000000,1.000000000000000,2019-04-05 0:00:00,553,Terra,MODIS,92,6.030000000000000,273.699999999999989,19.800000000000001,N,0
123,53.975600000000000,-123.568299999999994,300.600000000000023,1.100000000000000,1.000000000000000,2019-04-10 0:00:00,1942,Terra,MODIS,20,6.030000000000000,279.600000000000023,7.700000000000000,D,0
124,53.583599999999997,-123.091099999999997,316.800000000000011,1.100000000000000,1.100000000000000,2019-04-12 0:00:00,2117,Aqua,MODIS,77,6.030000000000000,283.800000000000011,20.100000000000001,D,0
125,53.976399999999998,-123.579800000000006,317.399999999999977,1.100000000000000,1.000000000000000,2019-04-14 0:00:00,547,Terra,MODIS,93,6.030000000000000,270.899999999999977,24.000000000000000,N,0
126,57.112099999999998,-121.716700000000003,302.800000000000011,1.200000000000000,1.100000000000000,2019-04-17 0:00:00,1947,Terra,MODIS,41,6.030000000000000,282.000000000000000,9.699999999999999,D,0
127,56.632300000000001,-121.651499999999999,311.699999999999989,1.200000000000000,1.100000000000000,2019-04-17 0:00:00,1947,Terra,MODIS,72,6.030000000000000,281.399999999999977,17.199999999999999,D,0
128,56.631999999999998,-121.658400000000000,311.199999999999989,1.200000000000000,1.100000000000000,2019-04-17 0:00:00,1947,Terra,MODIS,71,6.030000000000000,281.500000000000000,16.899999999999999,D,0
129,54.472799999999999,-128.618599999999986,302.500000000000000,4.500000000000000,1.900000000000000,2019-04-20 0:00:00,1840,Terra,MODIS,53,6.030000000000000,278.000000000000000,68.500000000000000,D,0
130,54.472999999999999,-128.623999999999995,300.300000000000011,4.500000000000000,1.900000000000000,2019-04-20 0:00:00,1840,Terra,MODIS,33,6.030000000000000,277.699999999999989,62.700000000000003,D,0
131,56.917299999999997,-121.651399999999995,309.300000000000011,2.300000000000000,1.500000000000000,2019-04-20 0:00:00,2018,Terra,MODIS,68,6.030000000000000,279.899999999999977,39.200000000000003,D,0
132,54.471400000000003,-128.618200000000002,308.500000000000000,1.400000000000000,1.200000000000000,2019-04-20 0:00:00,2019,Terra,MODIS,67,6.030000000000000,282.699999999999989,17.199999999999999,D,0
133,54.481499999999997,-128.611999999999995,303.300000000000011,1.400000000000000,1.200000000000000,2019-04-20 0:00:00,2019,Terra,MODIS,42,6.030000000000000,282.699999999999989,11.000000000000000,D,0
134,49.115099999999998,-119.738500000000002,322.800000000000011,1.100000000000000,1.100000000000000,2019-04-21 0:00:00,2109,Aqua,MODIS,82,6.030000000000000,300.699999999999989,16.899999999999999,D,0
135,49.113199999999999,-119.754099999999994,320.000000000000000,1.100000000000000,1.100000000000000,2019-04-21 0:00:00,2109,Aqua,MODIS,77,6.030000000000000,299.399999999999977,13.500000000000000,D,0
136,57.110999999999997,-121.712599999999995,323.800000000000011,1.200000000000000,1.100000000000000,2019-04-21 0:00:00,2112,Aqua,MODIS,72,6.030000000000000,281.500000000000000,29.699999999999999,D,0
137,57.108899999999998,-121.732500000000002,331.199999999999989,1.200000000000000,1.100000000000000,2019-04-21 0:00:00,2112,Aqua,MODIS,76,6.030000000000000,280.300000000000011,41.799999999999997,D,0
